cus_CustomerCode,cus_Gender,cus_MartialTypeId,cus_Dependants,cus_CurrenResTypeId,cus_CurrenStyYear,app_CustBankClosBal,app_CustAssetValue,app_CustProductCatTypeId,app_CustBrandTypeId,app_CustIndustryTypeId,app_CustTenure,app_CustInstalCount,app_CustChasAsset,app_CustChasInitial,app_CustChasFinance,app_CustFinanInterest,app_CustEMI,app_CustTotInflow,Score,AnotherScore,cus_Age,Loan_to_Value,Asset_Financed,Gross Income,Banking,Employment_Stabilty,Age_Martial,Geo_Limit,Label
APTW058710,M,2750,0,2755,15,3289,0,1541,1360,879,24,24,63397,21397,42000,13.5,2223,1800,1.0,907,49,120,100,100,-100,80,120,0,Pay
APTW058587,M,2750,2,2755,14,4562,0,1541,1542,879,18,18,63000,22000,41000,13.0,2722,1800,1.0,884,26,120,100,100,-100,100,100,0,Pay
APTW058718,M,2750,2,2755,16,5246,0,1541,1542,879,18,18,53747,22747,31000,10.03,1981,1800,1.0,907,46,120,100,100,-100,80,100,0,Pay
APTW057714,M,2750,4,2755,28,6249,0,1541,1360,879,24,24,61011,19011,42000,10.5,2118,1800,1.0,888,35,120,100,100,-100,100,100,0,Pay
APTW060335,M,2750,3,2755,14,4673,0,1541,1542,879,24,24,54247,18247,36000,13.5,1905,1800,1.0,907,50,120,100,100,-100,-80,100,0,Pay
APTW060613,M,2750,3,2755,14,3816,0,1541,1360,879,18,18,59900,14900,45000,13.0,2988,1500,1.0,884,32,120,100,100,-100,-80,100,1,Pay
APTW060635,M,2750,4,2755,14,5642,0,1541,1542,879,24,24,53747,13747,40000,10.5,2017,1800,1.0,888,40,120,100,100,-100,100,100,0,Pay
APTW058992,M,2750,4,2755,20,8437,0,1541,1542,879,24,24,60314,21314,39000,10.5,1966,1800,825.0,981,43,120,100,100,-100,-80,100,1,Pay
APTW060728,M,2750,3,2755,13,5349,0,1541,1542,879,24,24,58202,18202,40000,15.1,2170,1800,1.0,907,44,120,100,100,-100,80,100,1,Pay
APTW065929,M,2750,4,2755,22,0,650000,1541,1360,1782,24,24,66612,21612,45000,13.5,2381,2300,669.0,960,28,120,100,100,100,-80,100,0,Pay
APTW023206,M,2750,0,2755,18,0,265000,1541,1360,1783,18,18,67112,27112,40000,13.5,2672,2500,652.0,960,31,120,100,100,100,80,120,0,Pay
APTW065065,M,2750,3,2755,20,1500,0,1541,1542,603,18,18,60688,17688,43000,11.0,2783,1500,1.0,907,44,120,100,100,100,100,100,0,Pay
APTW066274,M,2750,4,2755,20,0,265000,1541,1360,1783,24,24,70663,21663,49000,13.5,2593,1500,1.0,884,26,120,100,100,100,80,100,0,Pay
APTW066317,M,2750,4,2755,20,0,268000,1541,1360,1783,24,24,66477,17477,49000,13.5,2593,1500,1.0,884,26,120,100,100,100,100,100,1,Pay
